Airspace Ratio,Conflict Episode Rate,Conflict Std,Intrusion Episode Rate,Intrusion Std
0.1,25.0,43.30127018922193,10.0,30.000000000000004
0.125,10.0,30.000000000000004,15.0,35.70714214271425
0.15,5.0,21.794494717703365,10.0,30.000000000000004
0.175,10.0,30.000000000000004,5.0,21.794494717703365
0.19999999999999998,10.0,30.000000000000004,10.0,30.000000000000004
0.22499999999999998,10.0,30.000000000000004,25.0,43.30127018922193
0.24999999999999997,15.0,35.70714214271425,20.0,40.00000000000001
0.27499999999999997,10.0,30.000000000000004,10.0,30.000000000000004
0.29999999999999993,10.0,30.000000000000004,10.0,30.000000000000004
0.32499999999999996,15.0,35.70714214271425,20.0,40.00000000000001
0.35,5.0,21.794494717703365,10.0,30.000000000000004
0.3749999999999999,0.0,0.0,5.0,21.794494717703365
0.3999999999999999,10.0,30.000000000000004,15.0,35.70714214271425
0.42499999999999993,5.0,21.794494717703365,10.0,30.000000000000004
0.44999999999999996,5.0,21.794494717703365,25.0,43.30127018922193
0.47499999999999987,0.0,0.0,5.0,21.794494717703365
0.4999999999999999,10.0,30.000000000000004,25.0,43.30127018922193
