Episode,conflicts,targets_reached,episode_length,total_drift,restricted_intrusions
233,0,9,60,80.33236942045467,0
234,0,9,60,68.0974828997312,0
235,0,8,60,140.80350315836102,0
236,0,9,60,106.44721719855201,0
237,2,9,60,130.35796723305566,0
238,2,10,49,57.07454917067891,0
239,0,8,60,74.14175927327426,0
240,0,9,60,67.8377176693107,0
241,0,7,60,154.70353878929015,0
242,0,10,57,70.60802392681447,0
243,2,9,60,170.91295030870975,3
244,0,10,56,121.59770701462223,0
245,0,10,58,115.65194823238468,0
246,0,10,46,73.90394348524795,0
247,0,10,55,91.31812090468884,0
248,0,10,55,60.000880124426736,1
249,0,5,60,150.3798769622064,1
250,0,9,60,78.3025953891726,0
251,2,9,60,90.93909649522531,0
252,0,10,60,104.52491575523868,0
253,0,10,40,36.559818672399885,0
254,0,10,55,84.32591443118316,0
255,0,8,60,129.7777220512384,0
256,0,9,60,78.2839975011653,0
257,0,10,56,70.55708128965915,0
258,0,8,60,94.05744502246421,0
259,0,10,49,58.05954807352056,0
260,0,10,52,74.90412014515688,1
261,0,10,56,76.70143265793678,0
262,0,8,60,101.21113309922454,1
263,0,10,58,57.3548039999891,0
264,0,9,60,70.40393978016291,0
265,0,10,47,46.3284142983814,0
266,0,10,57,105.9507485420285,0
267,0,7,60,154.58348299083764,1
268,0,10,49,55.08403431002803,0
269,0,10,52,102.10481864562823,0
270,4,8,60,96.37067902700585,0
271,0,10,51,70.7537523178776,2
272,0,8,60,138.52776843167962,0
273,0,8,60,107.72101398504573,0
274,0,10,58,58.20485327999734,0
275,0,8,60,92.58694525633109,0
276,0,10,57,61.46780762757067,0
277,0,10,56,93.76563696831857,0
278,0,9,60,114.25782187630062,0
279,0,9,60,69.09718753353411,0
280,0,10,60,63.06384753790088,0
281,0,10,49,47.431405102447705,0
282,0,10,57,112.56498996549215,0
283,2,10,58,86.19484344968127,0
284,0,8,60,172.57967634483603,0
285,0,9,60,95.1733299211119,0
286,0,10,57,59.801245670786074,1
287,0,10,49,77.6792956473036,0
288,0,8,60,90.88287741286851,0
289,0,9,60,53.659040662642454,0
290,0,10,56,99.31775698441952,0
291,4,9,60,161.78878227637432,0
292,0,9,60,121.74622546916957,0
293,0,9,60,118.22935945001299,0
294,0,10,60,76.77859270097831,0
295,0,10,59,90.69740987747673,1
296,0,9,60,83.07054192267194,0
297,0,10,60,115.2459248366684,1
298,0,10,59,106.72437509306403,2
299,0,9,60,73.48083725633539,0
